"","seriesId","seriesTitle","episodeName","seasonNumber","episodeNumber","totalEpisodeNumber","avgRating","votes","releaseYear","seriesAvgRating","totalVotes","avgVotes","numSeasons","numEpisodes","seriesStartYear","seriesEndYear","genres"
"1","tt0285331","24","12:00 a.m.-1:00 a.m.",1,1,1,8.2,3406,"2001",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"2","tt0285331","24","1:00 a.m.-2:00 a.m.",1,2,2,8.2,2565,"2001",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"3","tt0285331","24","2:00 a.m.-3:00 a.m.",1,3,3,8.1,2389,"2001",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"4","tt0285331","24","3:00 a.m.-4:00 a.m.",1,4,4,8.1,2262,"2001",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"5","tt0285331","24","4:00 a.m.-5:00 a.m.",1,5,5,8.1,2157,"2001",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"6","tt0285331","24","5:00 a.m.-6:00 a.m.",1,6,6,8.4,2182,"2001",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"7","tt0285331","24","6:00 a.m.-7:00 a.m.",1,7,7,8.4,2160,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"8","tt0285331","24","7:00 a.m.-8:00 a.m.",1,8,8,8.6,2114,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"9","tt0285331","24","8:00 a.m.-9:00 a.m.",1,9,9,8.2,2048,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"10","tt0285331","24","9:00 a.m.-10:00 a.m.",1,10,10,8.1,2136,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"11","tt0285331","24","10:00 a.m.-11:00 a.m.",1,11,11,8.4,2008,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"12","tt0285331","24","11:00 a.m.-12:00 p.m.",1,12,12,8.6,2017,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"13","tt0285331","24","12:00 p.m.-1:00 p.m.",1,13,13,8.4,1963,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"14","tt0285331","24","1:00 p.m.-2:00 p.m.",1,14,14,8,1908,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"15","tt0285331","24","2:00 p.m.-3:00 p.m.",1,15,15,8,1922,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"16","tt0285331","24","3:00 p.m.-4:00 p.m.",1,16,16,7.9,1913,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"17","tt0285331","24","4:00 p.m.-5:00 p.m.",1,17,17,8,1885,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"18","tt0285331","24","5:00 p.m.-6:00 p.m.",1,18,18,7.9,1839,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"19","tt0285331","24","6:00 p.m.-7:00 p.m.",1,19,19,8.2,1855,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"20","tt0285331","24","7:00 p.m.-8:00 p.m.",1,20,20,8.5,1869,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"21","tt0285331","24","8:00 p.m.-9:00 p.m.",1,21,21,8.1,1820,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"22","tt0285331","24","9:00 p.m.-10:00 p.m.",1,22,22,8.2,1824,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"23","tt0285331","24","10:00 p.m.-11:00 p.m.",1,23,23,8.8,1993,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"24","tt0285331","24","11:00 p.m.-12:00 a.m.",1,24,24,9.3,2762,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"25","tt0285331","24","Day 2: 8:00 a.m.-9:00 a.m.",2,1,25,8.2,1950,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"26","tt0285331","24","Day 2: 9:00 a.m.-10:00 a.m.",2,2,26,8,1697,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"27","tt0285331","24","Day 2: 10:00 a.m.-11:00 a.m.",2,3,27,8.6,1699,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"28","tt0285331","24","Day 2: 11:00 a.m.-12:00 p.m.",2,4,28,8.5,1648,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
"29","tt0285331","24","Day 2: 12:00 p.m.-1:00 p.m.",2,5,29,8.1,1613,"2002",8.32,280426,1461,8,192,"2001","2010","Action,Crime,Drama"
